"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
0	0	1	1	1	3
2	0	1	1	1	3
4	0	1	1	1	3
6	0	1	1	1	3
8	0	1	1	1	3
10	0	1	1	1	3
12	0	1	1	1	3
14	0	1	1	1	3
16	0	1	1	1	3
18	0	1	1	1	3
20	1	1	1	1	4
22	1	1	1	1	4
24	1	1	1	1	4
26	1	1	1	1	4
28	1	1	1	1	4
30	1	1	1	1	4
32	1	1	1	1	4
34	1	1	1	1	4
36	1	1	1	1	4
38	1	1	1	1	4
40	1	1	1	1	4
42	1	1	1	1	4
44	1	1	1	1	4
46	1	1	1	1	4
48	1	1	1	1	4
50	1	1	1	1	4
52	1	1	1	1	4
54	1	1	1	1	4
56	1	1	1	1	4
58	1	1	1	1	4
60	1	1	1	1	4
62	1	1	1	1	4
64	1	1	1	1	4
66	1	1	1	1	4
68	1	1	1	1	4
70	1	1	1	1	4
72	1	1	1	1	4
74	1	1	1	1	4
76	1	1	1	1	4
78	1	1	1	1	4
80	1	1	1	1	4
82	1	1	1	1	4
84	1	1	1	1	4
86	1	1	1	1	4
88	1	1	1	1	4
90	1	1	1	1	4
92	1	1	1	1	4
94	1	1	1	1	4
96	1	1	1	1	4
98	1	1	1	1	4
100	1	1	1	1	4
102	1	1	1	1	4
104	1	1	1	1	4
106	1	1	1	1	4
108	1	1	1	1	4
110	1	1	1	1	4
112	1	1	1	1	4
114	1	1	1	1	4
116	1	1	1	1	4
118	1	1	1	1	4
120	1	1	1	1	4
122	1	1	1	1	4
124	1	1	1	1	4
126	1	1	1	1	4
128	1	1	1	1	4
130	1	1	1	1	4
132	1	1	1	1	4
134	1	1	1	1	4
136	1	1	1	1	4
138	1	1	1	1	4
140	1	1	1	1	4
142	1	1	1	1	4
144	1	1	1	1	4
146	1	1	1	1	4
148	1	1	1	1	4
150	1	1	1	1	4
152	1	1	1	1	4
154	1	1	1	1	4
156	1	1	1	1	4
158	1	1	1	1	4
160	1	1	1	1	4
162	1	1	1	1	4
164	1	1	1	1	4
166	1	1	1	1	4
168	1	1	1	1	4
170	1	1	1	1	4
172	0	1	1	1	3
174	0	1	1	1	3
176	0	1	1	1	3
178	0	1	1	1	3
180	0	1	1	1	3
182	0	1	1	1	3
184	0	1	1	1	3
186	0	1	1	1	3
188	0	1	1	1	3
190	0	1	1	1	3
192	0	1	1	1	3
194	0	1	1	1	3
196	0	1	1	1	3
198	0	1	1	1	3
200	0	1	1	1	3
202	0	1	1	1	3
204	0	1	1	1	3
206	0	1	1	1	3
208	0	1	1	1	3
210	0	1	1	1	3
212	0	1	1	1	3
214	0	1	1	1	3
216	0	1	1	1	3
218	0	1	1	1	3
220	0	1	1	1	3
222	0	1	1	1	3
224	0	1	1	1	3
226	0	1	1	1	3
228	0	1	1	1	3
230	0	1	1	1	3
232	0	1	1	1	3
234	0	1	1	1	3
236	0	1	1	1	3
238	0	1	1	1	3
240	0	1	1	1	3
242	0	1	1	1	3
244	0	1	1	1	3
246	0	1	1	1	3
248	0	1	1	1	3
250	0	1	1	1	3
252	0	1	1	1	3
254	0	1	1	1	3
256	0	1	1	1	3
258	0	1	1	1	3
260	0	1	1	1	3
262	0	1	1	1	3
264	0	1	1	1	3
266	0	1	1	1	3
268	0	1	1	1	3
270	0	1	1	1	3
272	0	1	1	1	3
274	0	1	1	1	3
276	0	1	1	1	3
278	1	1	1	1	4
280	1	1	1	1	4
282	1	1	1	1	4
284	1	1	1	1	4
286	1	1	1	1	4
288	1	1	1	1	4
290	1	1	1	1	4
292	1	1	1	1	4
294	1	1	1	1	4
296	1	1	1	1	4
298	1	1	1	1	4
300	1	1	1	1	4
302	1	1	1	1	4
304	1	1	1	1	4
306	1	1	1	1	4
308	1	1	1	1	4
310	1	1	1	1	4
312	1	1	1	1	4
314	1	1	1	1	4
316	1	1	1	1	4
318	1	1	1	1	4
320	1	1	1	1	4
322	1	1	1	1	4
324	1	1	1	1	4
326	1	1	1	1	4
328	1	1	1	1	4
330	1	1	1	1	4
332	1	1	1	1	4
334	1	1	1	1	4
336	1	1	1	1	4
338	1	1	1	1	4
340	1	1	1	1	4
342	1	1	1	1	4
344	1	1	1	1	4
346	1	1	1	1	4
348	1	1	1	1	4
350	1	1	1	1	4
352	1	1	1	1	4
354	1	1	1	1	4
356	1	1	1	1	4
358	1	1	1	1	4
360	1	1	1	1	4
362	1	1	1	1	4
364	1	1	1	1	4
366	1	1	1	1	4
368	1	1	1	1	4
370	1	1	1	1	4
372	1	1	1	1	4
374	1	1	1	1	4
376	1	1	1	1	4
378	1	1	1	1	4
380	1	1	1	1	4
382	1	1	1	1	4
384	0	1	1	1	3
386	0	1	1	1	3
388	0	1	1	1	3
390	0	1	1	1	3
392	0	1	1	1	3
394	0	1	1	0	2
396	0	1	1	0	2
398	0	1	1	0	2
400	0	1	1	0	2
