depth	min95%	max95%	best	acc.rate
0	-185	404	46	2.32
2	-169	389	51	2.32
4	-151	373	55	2.32
6	-134	358	60	2.32
8	-119	342	65	2.32
10	-103	328	69	2.32
12	-88	313	74	2.32
14	-73	299	79	2.32
16	-58	287	83	2.32
18	-43	275	88	2.32
20	-27	265	93	2.32
22	-12	256	97	2.32
24	-1	251	102	2.32
26	4	248	107	2.32
28	11	246	111	2.32
30	17	248	116	2.32
32	21	249	121	2.32
34	24	251	125	2.32
36	22	253	130	2.32
38	20	256	134	2.32
40	18	259	139	2.32
42	16	261	144	2.32
44	12	263	148	2.32
46	10	266	153	2.32
48	8	270	158	2.32
50	5	278	162	2.32
52	13	287	170	5.6
54	33	294	182	5.6
56	53	303	193	5.6
58	73	312	204	5.6
60	92	320	215	5.6
62	108	330	226	5.6
64	108	339	238	5.6
66	98	349	249	5.6
68	92	359	260	5.6
70	99	369	271	5.6
72	106	382	282	5.6
74	115	400	294	5.6
76	122	415	305	5.6
78	130	433	316	5.6
80	135	450	327	5.6
82	142	455	333	-0.15
84	154	447	332	-0.15
86	166	438	332	-0.15
88	178	431	332	-0.15
90	189	422	331	-0.15
92	199	415	331	-0.15
94	207	407	331	-0.15
96	215	399	330	-0.15
98	220	394	330	-0.15
100	226	387	330	-0.15
102	238	382	330	-0.15
104	255	375	329	-0.15
106	271	371	329	-0.15
108	281	368	329	-0.15
110	291	367	328	-0.15
112	292	369	328	44.85
114	434	512	463	89.86
116	525	632	561	8.27
118	543	644	577	8.27
120	561	656	594	8.27
122	579	668	611	8.27
124	596	680	627	8.27
126	613	693	644	8.27
128	629	707	660	8.27
130	645	720	677	8.27
132	662	733	693	8.27
134	677	747	710	8.27
136	692	763	726	8.27
138	707	780	743	8.27
140	720	800	759	8.27
142	734	818	776	8.27
144	748	839	793	7.19
146	768	850	807	7.19
148	782	862	821	7.19
150	791	875	836	7.19
152	797	889	850	7.19
154	801	905	864	7.19
156	803	921	879	7.19
158	804	941	893	7.19
160	806	961	908	7.19
162	823	976	925	9.9
164	854	991	944	9.9
166	886	1005	964	9.9
168	917	1020	984	9.9
170	947	1037	1004	9.9
172	978	1056	1024	9.9
174	1005	1073	1043	9.9
176	1032	1091	1063	9.9
178	1054	1111	1083	9.9
180	1071	1130	1100	4.59
182	1081	1138	1109	4.59
184	1091	1147	1118	4.59
186	1100	1155	1128	4.59
188	1109	1165	1137	4.59
190	1118	1174	1146	4.59
192	1126	1184	1155	4.59
194	1134	1194	1164	4.59
196	1143	1204	1174	4.59
198	1150	1214	1183	4.59
200	1158	1224	1192	4.59
202	1166	1235	1201	4.59
204	1173	1244	1210	4.59
206	1181	1255	1219	4.59
208	1189	1266	1229	4.59
210	1196	1276	1238	4.59
212	1203	1287	1247	4.59
214	1210	1298	1256	4.59
216	1218	1308	1265	4.59
218	1225	1319	1274	4.59
220	1232	1329	1284	4.59
222	1239	1340	1293	4.59
224	1246	1351	1302	4.59
226	1253	1362	1311	4.59
228	1260	1373	1320	4.59
230	1267	1384	1329	4.59
232	1274	1395	1339	4.59
234	1281	1406	1348	4.59
236	1289	1417	1357	4.59
238	1295	1428	1366	4.59
240	1302	1438	1375	4.59
242	1309	1449	1384	4.59
244	1316	1461	1394	4.59
246	1323	1472	1403	4.59
248	1330	1484	1412	4.59
250	1337	1495	1421	4.59
252	1343	1507	1430	4.59
254	1350	1518	1439	4.59
256	1357	1529	1449	NA
