"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
0	0	1	1	1	3
2	0	1	1	1	3
4	0	1	1	1	3
6	0	1	1	1	3
8	0	1	1	1	3
10	0	1	1	1	3
12	0	1	1	1	3
14	0	1	1	1	3
16	0	1	1	1	3
18	0	1	1	1	3
20	0	1	1	1	3
22	0	1	1	1	3
24	0	1	1	1	3
26	0	1	1	1	3
28	0	1	1	1	3
30	0	1	1	1	3
32	0	1	1	1	3
34	0	1	1	1	3
36	0	1	1	1	3
38	0	1	1	1	3
40	0	1	1	1	3
42	0	1	1	1	3
44	0	1	1	1	3
46	0	1	1	1	3
48	0	1	1	1	3
50	0	1	1	1	3
52	0	1	1	1	3
54	0	1	1	1	3
56	0	1	1	1	3
58	0	1	1	1	3
60	0	1	1	1	3
62	0	1	1	1	3
64	0	1	1	1	3
66	0	1	1	1	3
68	0	1	1	1	3
70	0	1	1	1	3
72	0	1	1	1	3
74	0	1	1	1	3
76	0	1	1	1	3
78	0	1	1	1	3
80	0	1	1	1	3
82	0	1	1	1	3
84	0	1	1	1	3
86	0	1	1	1	3
88	0	1	1	1	3
90	0	1	1	1	3
92	0	1	1	1	3
94	0	1	1	1	3
96	0	1	1	1	3
98	0	1	1	1	3
100	0	1	1	1	3
102	0	1	1	1	3
104	0	1	1	1	3
106	0	1	1	1	3
108	0	1	1	1	3
110	0	1	1	1	3
112	0	1	1	1	3
114	0	1	1	1	3
116	1	1	1	1	4
118	1	1	1	1	4
120	1	1	1	1	4
122	1	1	1	1	4
124	1	1	1	1	4
126	1	1	1	1	4
128	1	1	1	1	4
130	1	1	1	1	4
132	1	1	1	1	4
134	1	1	1	1	4
136	1	1	1	1	4
138	1	1	1	1	4
140	1	1	1	1	4
142	1	1	1	1	4
144	1	1	1	1	4
146	1	1	1	1	4
148	1	1	1	1	4
150	1	1	1	1	4
152	1	1	1	1	4
154	1	1	1	1	4
156	1	1	1	1	4
158	1	1	1	1	4
160	1	1	1	1	4
162	1	1	1	1	4
164	1	1	1	1	4
166	1	1	1	1	4
168	1	1	1	1	4
170	1	1	1	1	4
172	1	1	1	1	4
174	1	1	1	1	4
176	1	1	1	1	4
178	1	1	1	1	4
180	1	1	1	1	4
182	1	1	1	1	4
184	1	1	1	1	4
186	1	1	1	1	4
188	1	1	1	1	4
190	1	1	1	1	4
192	1	1	1	1	4
194	1	1	1	1	4
196	1	1	1	1	4
198	1	1	1	1	4
200	1	1	1	1	4
202	1	1	1	1	4
204	1	1	1	1	4
206	1	1	1	1	4
208	1	1	1	1	4
210	1	1	1	1	4
212	1	1	1	1	4
214	1	1	1	1	4
216	1	1	1	1	4
218	1	1	1	1	4
220	1	1	1	1	4
222	1	1	1	1	4
224	1	1	1	1	4
226	1	1	1	1	4
228	1	1	1	1	4
230	1	1	1	1	4
232	1	1	1	1	4
234	1	1	1	1	4
236	1	1	1	1	4
238	1	1	1	1	4
240	1	1	1	1	4
242	1	1	1	1	4
244	1	1	1	1	4
246	1	1	1	1	4
248	1	1	1	1	4
250	1	1	1	1	4
252	1	1	1	1	4
254	1	1	1	1	4
256	0	1	1	1	3
