depth	min95%	max95%	best	acc.rate
0	-123	62	-14	7.5
2	-106	76	1	7.5
6	-70	105	31	7.55
10	-34	134	61	7.63
14	0	164	92	7.76
18	37	194	123	7.93
22	70	226	155	8.14
26	107	259	188	8.39
30	146	293	222	8.68
34	185	329	257	9.02
38	221	369	294	9.4
42	252	411	332	9.82
46	273	457	372	10.28
50	291	506	414	10.89
54	303	558	459	11.69
58	316	615	507	12.68
62	338	675	559	13.86
66	365	741	617	15.22
70	389	811	680	16.77
74	413	892	749	18.51
78	448	983	826	20.44
82	501	1089	911	22.55
86	576	1222	1005	24.85
90	665	1355	1108	27.34
94	756	1511	1221	30.02
98	868	1688	1346	33.85
102	1004	1884	1491	41.16
106	1181	2127	1671	52.07
110	1412	2413	1900	66.57
114	1720	2755	2192	84.67
118	2111	3181	2562	106.37
122	2595	3702	3025	131.66
126	3167	4317	3593	160.54
130	3819	5065	4283	193.03
134	4541	5960	5108	228.66
138	5391	6999	6077	264.82
142	6326	8207	7191	300.76
146	7353	9534	8441	330.36
150	8453	10935	9796	351.06
154	9604	12396	11221	363.07
158	10793	13884	12685	370.53
162	11990	15418	14175	375.14
166	13227	16942	15679	376.91
170	14437	18464	17187	NA
