depth	min95%	max95%	best	acc.rate
0	-103	97	-3	8.85
2	-83	112	15	8.85
6	-37	140	50	8.85
10	3	166	85	8.85
14	44	197	121	8.85
18	80	229	156	8.85
22	116	261	192	8.85
26	154	299	227	8.85
30	189	335	262	8.85
34	221	373	298	8.85
38	253	415	333	8.85
42	282	458	369	8.85
46	323	509	414	29.45
50	446	619	532	29.45
54	569	730	650	29.45
58	689	842	768	29.45
62	810	957	885	29.45
66	927	1071	1003	29.45
70	1044	1188	1121	29.45
74	1159	1306	1239	29.45
78	1274	1428	1357	29.45
82	1383	1551	1474	29.45
86	1489	1672	1592	29.45
90	1597	1797	1710	29.45
94	1707	1922	1828	29.45
98	1885	2092	2002	52.13
102	2105	2290	2211	52.13
106	2326	2498	2419	52.13
110	2541	2704	2628	52.13
114	2752	2920	2836	52.13
118	2958	3138	3045	52.13
122	3161	3360	3253	52.13
126	3352	3587	3462	52.13
130	3545	3813	3670	52.13
134	3877	4112	3987	124.58
138	4406	4586	4486	124.58
142	5188	5378	5266	688.13
146	7940	8114	8018	688.13
150	10670	10880	10771	688.13
154	13240	13500	13364	368.76
158	14711	14980	14839	368.76
162	16123	16504	16314	368.76
166	17522	18050	17789	368.76
170	18904	19607	19264	NA
