"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
-1550	0	1	0	0	1
-1542	0	1	0	0	1
-1534	0	1	0	0	1
-1526	0	1	0	0	1
-1518	0	1	0	0	1
-1510	0	1	0	0	1
-1502	0	1	0	0	1
-1494	0	1	0	0	1
-1486	0	1	0	0	1
-1478	0	1	0	0	1
-1470	0	1	0	0	1
-1462	0	1	0	0	1
-1454	0	1	0	0	1
-1446	0	1	0	0	1
-1438	0	1	0	0	1
-1430	0	1	0	0	1
-1422	0	1	0	0	1
-1414	0	1	0	0	1
-1406	0	1	0	0	1
-1398	0	1	0	0	1
-1390	0	1	0	0	1
-1382	0	1	0	0	1
-1374	0	1	0	0	1
-1366	0	1	0	0	1
-1358	0	1	0	0	1
-1350	0	1	0	0	1
-1342	0	1	0	0	1
-1334	0	1	0	0	1
-1326	0	1	0	0	1
-1318	0	1	0	0	1
-1310	0	1	0	0	1
-1302	0	1	0	0	1
-1294	0	1	0	0	1
-1286	0	1	0	0	1
-1278	0	1	0	0	1
-1270	0	1	1	1	3
-1262	0	1	1	1	3
-1254	0	1	1	1	3
-1246	0	1	1	1	3
-1238	0	1	1	1	3
-1230	0	1	1	1	3
-1222	0	1	1	1	3
-1214	0	1	1	1	3
-1206	0	1	1	1	3
-1198	0	1	1	1	3
-1190	0	1	1	1	3
-1182	0	1	1	1	3
-1174	0	1	1	1	3
-1166	0	1	1	1	3
-1158	0	1	1	1	3
-1150	0	1	1	1	3
-1142	0	1	1	1	3
-1134	0	1	1	1	3
-1126	0	1	1	1	3
-1118	0	1	1	1	3
-1110	0	1	1	1	3
-1102	0	1	1	1	3
-1094	0	1	1	1	3
-1086	0	1	1	1	3
-1078	0	1	1	1	3
-1070	0	1	1	1	3
-1062	0	1	1	1	3
-1054	0	1	1	1	3
-1046	0	1	1	1	3
-1038	0	1	1	1	3
-1030	0	1	1	1	3
-1022	0	1	1	1	3
-1014	0	1	1	1	3
-1006	0	1	1	1	3
-998	0	1	1	1	3
-990	0	1	1	1	3
-982	0	1	1	1	3
-974	0	1	1	1	3
-966	0	1	1	1	3
-958	0	1	1	1	3
-950	0	1	1	1	3
-942	0	1	1	1	3
-934	0	1	1	1	3
-926	0	1	1	1	3
-918	0	1	1	1	3
-910	0	1	1	1	3
-902	0	1	1	1	3
-894	0	1	1	1	3
-886	0	1	1	1	3
-878	0	1	1	1	3
-870	0	1	1	1	3
-862	0	1	1	1	3
-854	0	1	1	1	3
-846	0	1	1	1	3
-838	0	1	1	1	3
-830	0	1	1	1	3
-822	0	1	1	1	3
-814	1	1	1	1	4
-806	1	1	1	1	4
-798	1	1	1	1	4
-790	1	1	1	1	4
-782	1	1	1	1	4
-774	1	1	1	1	4
-766	1	1	1	1	4
-758	1	1	1	1	4
-750	1	1	1	1	4
-742	1	1	1	1	4
-734	1	1	1	1	4
-726	1	1	1	1	4
-718	1	1	1	1	4
-710	1	1	1	1	4
-702	1	1	1	1	4
-694	1	1	1	1	4
-686	1	1	1	1	4
-678	1	1	1	1	4
-670	1	1	1	1	4
-662	1	1	1	1	4
-654	1	1	1	1	4
-646	1	1	1	1	4
-638	1	1	1	1	4
-630	1	1	1	1	4
-622	1	1	1	1	4
-614	1	1	1	1	4
-606	1	1	1	1	4
-598	1	1	1	1	4
-590	1	1	1	1	4
-582	1	1	1	1	4
-574	1	1	1	1	4
-566	1	1	1	1	4
-558	1	1	1	1	4
-550	1	1	1	1	4
-542	1	1	1	1	4
-534	1	1	1	1	4
-526	1	1	1	1	4
-518	1	1	1	1	4
-510	1	1	1	1	4
-502	1	1	1	1	4
-494	1	1	1	1	4
-486	1	1	1	1	4
-478	1	1	1	1	4
-470	1	1	1	1	4
-462	1	1	1	1	4
-454	1	1	1	1	4
-446	1	1	1	1	4
-438	1	1	1	1	4
-430	1	1	1	1	4
-422	1	1	1	1	4
-414	1	1	1	1	4
-406	1	1	1	1	4
-398	1	1	1	1	4
-390	1	1	1	1	4
-382	1	1	1	1	4
-374	1	1	1	1	4
-366	1	1	1	1	4
-358	1	1	1	1	4
-350	1	1	1	1	4
-342	1	1	1	1	4
-334	1	1	1	1	4
-326	1	1	1	1	4
-318	1	1	1	1	4
-310	1	1	1	1	4
-302	1	1	1	1	4
-294	1	1	1	1	4
-286	1	1	1	1	4
-278	1	1	1	1	4
-270	1	1	1	1	4
-262	1	1	1	1	4
-254	1	1	1	1	4
-246	1	1	1	1	4
-238	0	1	1	1	3
-230	0	1	1	1	3
-222	0	1	1	1	3
-214	0	1	1	1	3
-206	0	1	1	1	3
-198	0	1	1	0	2
-190	0	1	1	0	2
-182	0	1	1	0	2
-174	0	1	1	0	2
-166	0	1	0	0	1
-158	0	1	0	0	1
-150	0	1	0	0	1
-142	0	1	0	0	1
-134	0	1	0	0	1
-126	0	1	0	0	1
-118	0	1	0	0	1
-110	0	1	0	0	1
-102	0	1	0	0	1
-94	0	1	1	1	3
-86	0	1	1	1	3
-78	0	1	1	1	3
-70	0	1	1	1	3
-62	0	1	1	1	3
-54	0	1	1	1	3
-46	0	1	1	1	3
-38	0	1	1	1	3
-30	0	1	1	1	3
-22	0	1	1	1	3
-14	0	1	1	1	3
-6	0	1	1	1	3
