depth	min95%	max95%	best	acc.rate
-1550	-715	1818	437	2.03
-1542	-688	1821	453	2.03
-1534	-661	1825	469	2.03
-1526	-635	1828	485	2.03
-1518	-608	1832	502	2.03
-1510	-581	1836	518	2.03
-1502	-554	1840	534	2.03
-1494	-528	1845	550	2.03
-1486	-501	1848	566	2.03
-1478	-474	1852	583	2.03
-1470	-447	1855	599	2.03
-1462	-420	1858	615	2.03
-1454	-393	1862	631	2.03
-1446	-366	1865	647	2.03
-1438	-339	1868	664	2.03
-1430	-312	1872	680	2.03
-1422	-285	1875	696	2.03
-1414	-258	1879	712	2.03
-1406	-231	1883	728	2.03
-1398	-205	1887	745	2.03
-1390	-178	1889	761	2.03
-1382	-151	1893	777	2.03
-1374	-123	1897	793	2.03
-1366	-95	1902	810	2.03
-1358	-67	1906	826	2.03
-1350	-40	1910	842	2.03
-1342	-12	1915	858	2.03
-1334	16	1919	874	2.03
-1326	43	1924	891	2.03
-1318	70	1928	907	2.03
-1310	97	1933	923	2.03
-1302	123	1939	939	2.03
-1294	150	1945	955	2.03
-1286	176	1947	972	2.03
-1278	203	1951	988	2.03
-1270	229	1955	1004	2.03
-1262	255	1960	1020	2.03
-1254	281	1964	1036	2.03
-1246	307	1968	1053	2.03
-1238	334	1971	1069	2.03
-1230	361	1974	1085	2.03
-1222	387	1979	1101	2.03
-1214	414	1983	1117	2.03
-1206	441	1988	1134	2.03
-1198	468	1993	1150	2.03
-1190	495	1995	1166	2.03
-1182	522	1997	1182	2.03
-1174	550	2000	1199	2.03
-1166	577	2004	1215	2.03
-1158	605	2008	1231	2.03
-1150	633	2013	1247	2.03
-1142	660	2018	1263	2.03
-1134	688	2023	1280	2.03
-1126	715	2027	1296	2.03
-1118	741	2032	1312	2.03
-1110	769	2034	1328	2.03
-1102	794	2039	1344	2.03
-1094	821	2045	1361	2.03
-1086	848	2051	1377	2.03
-1078	873	2054	1393	2.03
-1070	899	2057	1409	2.03
-1062	924	2063	1425	2.03
-1054	951	2070	1442	2.03
-1046	978	2077	1458	2.03
-1038	1005	2083	1474	2.03
