depth	min95%	max95%	best	acc.rate
1	-220	-19	-95	-16.45
2	-234	-38	-112	-16.35
3	-247	-56	-128	-16.18
4	-260	-75	-144	-15.95
5	-272	-92	-160	-15.67
6	-285	-109	-176	-15.34
7	-297	-126	-191	-14.94
8	-309	-142	-206	-14.49
9	-320	-158	-221	-13.98
10	-331	-173	-235	-13.41
11	-341	-188	-248	-12.79
12	-351	-203	-261	-12.11
13	-360	-216	-273	-11.37
14	-368	-227	-284	-10.58
15	-376	-237	-295	-9.72
16	-382	-248	-305	-8.82
17	-388	-257	-314	-7.85
18	-393	-263	-321	-6.83
19	-398	-271	-328	-5.75
20	-402	-273	-334	-4.61
21	-404	-277	-339	-3.42
22	-404	-281	-342	-2.17
23	-404	-284	-344	-0.86
24	-402	-283	-345	0.51
25	-399	-280	-345	1.93
26	-394	-278	-343	3.41
27	-389	-274	-339	4.95
28	-381	-268	-334	6.54
29	-372	-262	-328	8.19
30	-362	-254	-320	9.9
31	-350	-243	-310	11.66
32	-336	-230	-298	13.49
33	-320	-215	-284	15.36
34	-303	-198	-269	17.3
35	-284	-179	-252	19.29
36	-262	-158	-232	21.34
37	-239	-135	-211	23.45
38	-214	-110	-188	25.62
39	-186	-83	-162	27.84
40	-156	-55	-134	30.12
41	-125	-24	-104	32.45
42	-91	9	-72	34.84
43	-56	46	-37	37.29
44	-21	87	0	39.78
45	17	131	40	42.25
46	56	176	82	44.68
47	97	222	127	47.08
48	141	272	174	49.43
49	186	323	224	51.75
50	234	377	275	54.03
51	285	431	329	56.27
52	337	487	386	58.47
53	391	548	444	60.64
54	448	613	505	62.77
55	506	678	568	64.86
56	567	744	632	66.91
57	630	811	699	68.92
58	694	881	768	70.9
59	761	954	839	72.83
60	829	1030	912	74.73
61	900	1107	987	76.59
62	972	1187	1063	78.42
63	1046	1268	1142	80.2
64	1121	1351	1222	81.95
65	1198	1434	1304	83.66
66	1276	1520	1388	85.33
67	1356	1607	1473	86.97
68	1438	1696	1560	88.56
69	1521	1787	1648	90.12
70	1606	1880	1739	91.64
71	1691	1974	1830	93.13
72	1778	2072	1923	94.57
73	1867	2169	2018	95.98
74	1958	2269	2114	97.34
75	2050	2372	2211	98.67
76	2144	2475	2310	99.97
77	2240	2578	2410	101.22
78	2336	2685	2511	102.44
79	2434	2794	2614	103.62
80	2533	2899	2717	104.76
81	2633	3008	2822	105.86
82	2733	3118	2928	106.93
83	2835	3230	3035	107.95
84	2937	3343	3143	108.94
85	3041	3456	3252	109.89
86	3146	3571	3361	110.81
87	3251	3686	3472	111.68
88	3357	3803	3584	112.52
89	3465	3920	3697	113.32
90	3573	4039	3810	114.08
91	3682	4158	3924	114.79
92	3792	4278	4039	115.47
93	3903	4398	4154	116.1
94	4014	4519	4270	116.69
95	4127	4640	4387	117.24
96	4241	4761	4504	117.75
97	4354	4883	4622	118.21
98	4470	5005	4740	118.63
99	4586	5127	4859	119.01
100	4702	5249	4978	119.35
101	4820	5371	5097	119.64
102	4937	5493	5217	119.89
103	5056	5615	5337	120.1
104	5175	5737	5457	120.27
105	5294	5858	5577	120.4
106	5414	5979	5697	120.48
107	5535	6100	5818	120.52
108	5657	6222	5938	120.54
109	5779	6343	6059	120.56
110	5901	6463	6180	120.58
111	6023	6582	6300	120.59
112	6144	6700	6421	120.61
113	6266	6817	6541	120.62
114	6388	6934	6662	120.63
115	6510	7051	6783	120.64
116	6635	7168	6903	120.65
117	6760	7284	7024	120.66
118	6881	7400	7145	120.67
119	7003	7517	7265	120.68
120	7125	7634	7386	120.68
121	7252	7750	7507	120.68
122	7378	7864	7627	120.69
123	7502	7977	7748	120.69
124	7624	8090	7869	120.69
125	7747	8204	7989	120.69
126	7871	8317	8110	120.69
127	7997	8431	8231	120.68
128	8122	8546	8351	120.68
129	8245	8660	8472	120.67
130	8367	8772	8593	120.67
131	8490	8888	8713	120.66
132	8613	9000	8834	120.65
133	8737	9113	8955	120.64
134	8862	9227	9075	120.63
135	8987	9340	9196	120.61
136	9114	9452	9317	120.6
137	9237	9563	9437	120.59
138	9363	9679	9558	120.6
139	9491	9791	9678	120.62
140	9615	9907	9799	120.66
141	9740	10023	9920	120.7
142	9865	10139	10040	120.77
143	9987	10253	10161	120.85
144	10114	10378	10282	120.94
145	10240	10497	10403	121.05
146	10364	10624	10524	121.17
147	10490	10750	10645	121.3
148	10614	10878	10766	121.45
149	10739	11001	10888	121.62
150	10867	11123	11009	121.79
151	10989	11248	11131	121.99
152	11114	11373	11253	122.19
153	11237	11497	11375	122.41
154	11361	11626	11498	122.65
155	11483	11756	11620	122.9
156	11599	11887	11743	123.16
157	11724	12018	11867	123.44
158	11850	12150	11990	123.73
159	11965	12281	12114	124.04
160	12085	12413	12238	124.36
161	12206	12546	12362	124.69
162	12321	12679	12487	125.04
163	12437	12813	12612	125.4
164	12554	12946	12737	125.78
165	12674	13080	12863	126.17
166	12786	13215	12989	126.57
167	12901	13350	13116	126.98
168	13016	13486	13243	127.41
169	13132	13621	13370	127.84
170	13250	13756	13498	128.29
171	13365	13890	13626	128.75
172	13483	14026	13755	129.22
173	13605	14164	13884	129.71
174	13722	14303	14014	130.21
175	13838	14443	14144	130.71
176	13956	14583	14275	131.23
177	14074	14723	14406	131.77
178	14193	14863	14538	132.31
179	14314	15004	14670	132.87
180	14433	15146	14803	133.44
181	14556	15287	14937	134.02
182	14678	15429	15071	134.61
183	14800	15572	15205	135.21
184	14924	15715	15340	135.83
185	15049	15858	15476	136.46
186	15176	16002	15613	137.1
187	15306	16146	15750	137.74
188	15434	16290	15887	138.38
189	15565	16434	16026	139.01
190	15698	16579	16165	139.63
191	15831	16725	16304	140.26
192	15965	16871	16445	140.87
193	16100	17018	16586	141.48
194	16236	17165	16727	142.08
195	16373	17312	16869	142.68
196	16511	17460	17012	143.27
197	16650	17608	17155	143.86
198	16791	17756	17299	144.44
199	16932	17904	17443	145.01
200	17071	18053	17588	145.58
201	17213	18203	17734	146.14
202	17356	18352	17880	146.7
203	17500	18502	18027	147.25
204	17645	18653	18174	147.8
205	17789	18803	18322	148.34
206	17934	18954	18470	148.87
207	18080	19106	18619	149.4
208	18227	19257	18769	149.93
209	18374	19409	18918	150.44
210	18518	19562	19069	150.95
211	18668	19714	19220	151.46
212	18819	19867	19371	151.96
213	18970	20020	19523	152.45
214	19123	20172	19676	152.94
215	19276	20323	19829	153.43
220	20024	21100	20600	155.75
225	20810	21881	21384	157.94
230	21591	22673	22178	159.98
235	22389	23477	22981	161.88
240	23179	24277	23794	163.64
245	23988	25078	24616	165.25
250	24803	25896	25445	166.72
255	25620	26706	26281	168.04
260	26445	27535	27124	169.23
265	27244	28372	27972	170.27
270	28041	29202	28825	171.16
275	28851	30046	29683	171.92
280	29660	30894	30544	172.53
285	30456	31757	31407	172.99
290	31271	32626	32273	173.32
295	32074	33526	33140	173.5
300	32850	34431	34007	NA
