"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
0	0	1	1	1	3
1	0	1	1	1	3
2	0	1	1	1	3
3	0	1	1	1	3
4	0	1	1	1	3
5	0	1	1	1	3
6	0	1	1	1	3
7	0	1	1	1	3
8	0	1	1	1	3
9	0	1	1	1	3
10	0	1	1	1	3
11	0	1	1	1	3
12	0	1	1	1	3
13	0	1	1	1	3
14	0	1	1	1	3
15	0	1	1	1	3
16	0	1	1	1	3
17	0	1	1	1	3
18	0	1	1	1	3
19	0	1	1	1	3
20	0	1	1	1	3
21	0	1	1	1	3
22	0	1	1	1	3
23	0	1	1	1	3
24	0	1	1	1	3
25	0	1	1	1	3
26	0	1	1	1	3
27	0	1	1	1	3
28	0	1	1	1	3
29	0	1	1	1	3
30	0	1	1	1	3
31	0	1	1	1	3
32	0	1	1	1	3
33	0	1	1	1	3
34	0	1	1	1	3
35	0	1	1	1	3
36	0	1	1	1	3
37	0	1	1	1	3
38	0	1	1	1	3
39	0	1	1	1	3
40	0	1	1	1	3
41	0	1	1	1	3
42	0	1	1	1	3
43	0	1	1	1	3
44	1	1	1	1	4
45	1	1	1	1	4
46	1	1	1	1	4
47	1	1	1	1	4
48	1	1	1	1	4
49	1	1	1	1	4
50	1	1	1	1	4
51	1	1	1	1	4
52	1	1	1	1	4
53	1	1	1	1	4
54	1	1	1	1	4
55	1	1	1	0	3
56	1	1	1	0	3
57	1	1	1	0	3
58	1	1	1	0	3
59	1	1	1	0	3
60	1	1	1	0	3
61	1	1	1	0	3
62	1	1	0	0	2
63	1	1	0	0	2
64	1	1	0	0	2
65	1	1	0	0	2
66	1	1	0	0	2
67	1	1	0	0	2
68	1	1	0	0	2
69	1	1	0	0	2
70	1	1	0	0	2
71	1	1	0	0	2
72	1	1	0	0	2
73	1	1	0	0	2
74	1	1	0	0	2
75	1	1	0	0	2
76	1	1	0	0	2
77	1	1	0	0	2
78	1	1	0	0	2
79	1	1	0	0	2
80	1	1	0	0	2
81	1	1	1	1	4
82	1	1	1	1	4
83	1	1	1	1	4
84	1	1	1	1	4
85	1	1	1	1	4
86	1	1	1	1	4
87	1	1	1	1	4
88	1	1	1	1	4
89	1	1	1	1	4
90	1	1	1	1	4
91	1	1	1	1	4
92	1	1	1	1	4
93	1	1	1	1	4
94	1	1	1	0	3
95	1	1	1	0	3
96	1	1	1	0	3
97	1	1	1	0	3
98	1	1	1	0	3
99	1	1	0	0	2
100	1	1	1	1	4
101	1	1	1	1	4
102	1	1	1	1	4
103	1	1	1	1	4
104	1	1	1	1	4
105	1	1	1	1	4
106	1	1	1	1	4
107	1	1	1	1	4
108	1	1	1	1	4
109	1	1	1	1	4
110	1	1	1	1	4
111	1	1	1	1	4
112	1	1	1	0	3
113	1	1	1	0	3
114	1	1	1	0	3
115	1	1	1	0	3
116	1	1	0	0	2
117	1	1	0	0	2
118	1	1	0	0	2
119	1	1	0	0	2
120	1	1	0	0	2
121	1	1	0	0	2
122	1	1	0	0	2
123	1	1	0	0	2
124	1	1	0	0	2
125	1	1	0	0	2
126	1	1	0	0	2
127	1	1	0	0	2
128	1	1	1	1	4
129	1	1	1	1	4
130	1	1	1	1	4
131	1	1	1	1	4
132	1	1	1	1	4
133	1	1	1	1	4
134	1	1	1	1	4
135	1	1	1	1	4
136	1	1	1	1	4
137	1	1	1	1	4
138	1	1	1	1	4
139	1	1	1	1	4
140	1	1	1	1	4
141	1	1	1	0	3
142	1	1	1	0	3
143	1	1	1	0	3
144	1	1	1	0	3
145	1	1	0	0	2
146	1	1	0	0	2
147	1	1	0	0	2
148	1	1	0	0	2
149	1	1	0	0	2
150	1	1	0	0	2
151	1	1	0	0	2
152	1	1	0	0	2
153	1	1	0	0	2
154	1	1	0	0	2
155	1	1	0	0	2
156	1	1	1	1	4
157	1	1	1	1	4
158	1	1	1	1	4
159	1	1	1	1	4
160	1	1	1	1	4
161	1	1	1	1	4
162	1	1	1	1	4
163	1	1	1	1	4
164	1	1	1	1	4
165	1	1	1	1	4
166	1	1	1	1	4
167	1	1	1	1	4
168	1	1	1	0	3
169	1	1	1	0	3
170	1	1	1	0	3
171	1	1	1	0	3
172	1	1	0	0	2
173	1	1	0	0	2
174	1	1	0	0	2
175	1	1	0	0	2
176	1	1	0	0	2
177	1	1	0	0	2
178	1	1	0	0	2
179	1	1	1	1	4
180	1	1	1	1	4
181	1	1	1	1	4
182	1	1	1	1	4
183	1	1	1	1	4
184	1	1	1	1	4
185	1	1	1	1	4
186	1	1	1	1	4
187	1	1	1	1	4
188	1	1	1	1	4
189	1	1	1	1	4
190	1	1	1	0	3
191	1	1	1	0	3
192	1	1	1	0	3
193	1	1	1	0	3
194	1	1	0	0	2
195	1	1	0	0	2
196	1	1	0	0	2
197	1	1	0	0	2
198	1	1	0	0	2
199	1	1	0	0	2
200	1	1	0	0	2
201	1	0	0	0	1
202	1	0	0	0	1
203	1	0	0	0	1
204	1	0	0	0	1
205	1	0	0	0	1
206	1	0	0	0	1
207	1	0	0	0	1
208	1	0	0	0	1
209	1	0	0	0	1
210	1	0	0	0	1
211	1	0	0	0	1
212	1	0	0	0	1
213	1	0	0	0	1
214	1	0	0	0	1
215	1	0	0	0	1
220	1	0	0	0	1
225	1	0	0	0	1
230	1	0	0	0	1
235	1	0	0	0	1
240	1	0	0	0	1
245	1	0	0	0	1
250	1	0	0	0	1
255	1	0	0	0	1
260	1	0	0	0	1
265	1	0	0	0	1
270	1	0	0	0	1
275	1	0	0	0	1
280	1	0	0	0	1
285	1	0	0	0	1
290	1	1	0	0	2
295	1	1	1	1	4
300	0	1	1	1	3
