depth	min95%	max95%	best	acc.rate
0	-60	16	-22	17.75
1	-42	33	-4	17.75
2	-24	51	14	7.1
3	-17	58	21	17.75
4	2	75	38	17.75
5	20	93	56	17.75
6	37	110	74	17.75
7	56	128	92	17.75
8	74	146	109	17.75
9	92	163	127	17.75
10	111	181	145	17.75
11	129	198	163	17.75
12	147	216	180	17.75
13	165	234	198	17.75
14	183	252	216	17.75
15	201	269	234	17.75
16	218	287	251	17.75
17	237	305	269	17.75
18	254	322	287	17.75
19	272	341	305	17.75
20	290	358	322	17.75
21	308	376	340	17.75
22	326	393	358	17.75
23	343	411	376	17.75
24	361	429	393	17.75
25	379	446	411	17.75
26	396	465	429	17.75
27	414	483	447	17.75
28	431	501	464	17.75
29	450	520	482	17.75
30	467	537	500	17.75
31	485	555	518	17.75
32	503	573	536	17.75
33	521	592	553	17.75
34	538	611	571	17.75
35	556	630	589	17.75
36	573	648	607	17.75
37	591	666	624	17.75
38	609	684	642	17.75
39	626	702	660	17.75
40	644	720	678	17.75
41	661	738	695	17.75
42	678	756	713	17.75
43	696	773	731	17.75
44	713	791	749	17.75
45	731	809	766	17.75
46	748	827	784	17.75
47	766	846	802	17.75
48	783	864	820	17.75
49	800	883	837	17.75
50	818	901	855	17.75
51	835	919	873	17.75
52	853	937	891	17.75
53	871	955	908	17.75
54	888	973	926	17.75
55	905	991	944	17.75
56	923	1009	962	17.75
57	940	1027	979	17.75
58	958	1045	997	17.75
59	975	1064	1015	17.75
60	992	1082	1033	17.75
61	1010	1101	1050	17.75
62	1027	1119	1068	17.75
63	1044	1137	1086	17.75
64	1061	1156	1104	17.75
65	1078	1174	1121	17.75
66	1095	1193	1139	17.75
67	1112	1211	1157	17.75
68	1129	1230	1175	17.75
69	1147	1248	1192	17.75
70	1164	1267	1210	17.75
71	1181	1285	1228	17.75
72	1198	1304	1246	17.75
73	1216	1322	1263	17.75
74	1233	1340	1281	17.75
75	1250	1359	1299	17.75
76	1267	1377	1317	17.75
77	1284	1396	1334	17.75
78	1301	1414	1352	28.76
79	1331	1441	1381	28.76
80	1361	1470	1410	28.76
81	1390	1499	1438	28.76
82	1419	1528	1467	28.76
83	1448	1557	1496	28.76
84	1477	1586	1525	28.76
85	1506	1615	1553	28.76
86	1534	1644	1582	28.76
87	1562	1675	1611	28.76
88	1590	1707	1640	28.76
89	1618	1738	1668	28.76
90	1646	1769	1697	28.76
91	1673	1798	1726	28.76
92	1699	1826	1755	28.76
93	1727	1855	1784	28.76
94	1755	1885	1812	28.76
95	1782	1914	1841	28.76
96	1810	1943	1870	28.76
97	1837	1972	1899	28.76
98	1864	2000	1927	28.76
99	1890	2027	1956	28.76
100	1918	2055	1985	28.76
101	1945	2084	2014	28.76
102	1972	2114	2042	28.76
103	2000	2143	2071	28.76
104	2027	2173	2100	28.76
105	2054	2204	2129	28.76
106	2081	2233	2157	28.76
107	2108	2264	2186	28.76
108	2135	2294	2215	28.76
109	2162	2325	2244	28.76
110	2189	2355	2273	28.76
111	2216	2386	2301	28.76
112	2243	2418	2330	28.76
113	2270	2449	2359	28.76
114	2297	2480	2388	28.76
115	2324	2512	2416	28.76
116	2351	2542	2445	28.76
117	2378	2573	2474	28.76
118	2405	2603	2503	28.76
119	2430	2633	2531	28.76
120	2456	2665	2560	28.76
121	2483	2697	2589	28.76
122	2510	2727	2618	28.76
123	2537	2758	2646	28.76
124	2565	2789	2675	28.76
125	2591	2820	2704	28.76
126	2617	2851	2733	28.76
127	2644	2882	2761	28.76
128	2670	2913	2790	28.76
129	2696	2944	2819	28.76
130	2723	2975	2848	28.76
131	2750	3006	2877	28.76
132	2777	3037	2905	28.76
133	2804	3069	2934	28.76
134	2831	3101	2963	28.76
135	2858	3132	2992	28.76
136	2884	3163	3020	28.76
137	2911	3194	3049	28.76
138	2938	3225	3078	24.37
139	2965	3245	3102	24.37
140	2992	3265	3127	24.37
