depth	min95%	max95%	best	acc.rate
0	-526	-24	-169	19.71
5	-405	77	-71	19.73
10	-284	176	28	19.77
15	-162	278	127	19.84
20	-41	386	226	19.93
25	81	488	326	20.06
30	203	589	427	20.2
35	325	691	528	20.38
40	447	794	630	20.58
45	571	899	734	20.81
50	695	1005	838	21.06
55	821	1112	944	21.34
60	945	1220	1051	21.65
65	1069	1333	1160	21.99
70	1195	1443	1271	22.35
75	1321	1554	1384	22.73
80	1444	1665	1498	23.12
85	1564	1777	1614	23.48
90	1679	1894	1732	23.83
95	1793	2008	1852	24.15
100	1909	2126	1974	24.45
105	2028	2245	2096	24.74
110	2146	2365	2221	25
115	2265	2491	2346	25.24
120	2386	2615	2473	25.46
125	2507	2735	2600	25.66
130	2628	2857	2729	25.84
135	2751	2980	2859	26
140	2873	3109	2989	26.13
145	2996	3240	3120	26.25
150	3119	3372	3251	26.35
155	3242	3504	3383	26.42
160	3365	3635	3515	26.48
165	3486	3769	3648	26.52
170	3606	3904	3781	26.53
175	3726	4038	3913	26.53
180	3846	4169	4046	26.51
185	3964	4305	4178	26.48
190	4083	4440	4311	26.42
195	4200	4574	4443	26.35
200	4317	4708	4574	26.25
205	4433	4842	4705	26.14
210	4549	4976	4836	26.01
215	4664	5106	4965	25.87
220	4776	5235	5094	25.7
225	4892	5366	5223	25.52
230	5005	5494	5350	25.31
235	5118	5622	5476	25.09
240	5230	5749	5601	24.85
245	5340	5875	5725	24.59
250	5450	5998	5847	24.32
255	5560	6120	5968	24.02
260	5668	6240	6088	23.71
265	5778	6359	6206	23.38
270	5886	6478	6322	23.03
275	5993	6594	6436	22.66
280	6099	6708	6549	22.27
285	6205	6821	6659	21.87
290	6309	6931	6768	21.45
295	6414	7040	6874	21
300	6517	7143	6978	20.55
305	6620	7245	7080	20.1
310	6721	7346	7180	19.68
315	6822	7444	7277	19.28
320	6921	7545	7373	18.91
325	7019	7638	7467	18.56
330	7117	7730	7559	18.24
335	7215	7821	7650	17.95
340	7312	7914	7739	17.68
345	7409	8005	7827	17.43
350	7507	8096	7913	17.22
355	7605	8186	7999	17.02
360	7703	8275	8084	16.86
365	7801	8362	8168	16.72
370	7899	8451	8251	16.6
375	7995	8540	8334	16.51
380	8089	8631	8416	16.44
385	8182	8721	8498	16.4
390	8283	8810	8580	16.39
395	8377	8897	8662	16.4
400	8469	8983	8744	16.44
405	8565	9068	8827	16.5
410	8661	9154	8909	16.59
415	8754	9238	8993	16.7
420	8842	9322	9076	16.84
425	8938	9406	9161	17.01
430	9033	9496	9246	17.2
435	9130	9585	9333	17.41
440	9226	9679	9420	17.62
445	9322	9772	9509	17.84
450	9413	9862	9598	18.06
455	9509	9958	9689	18.29
460	9603	10056	9781	18.52
465	9694	10154	9874	18.75
470	9790	10251	9968	18.99
475	9882	10350	10064	19.23
480	9978	10449	10160	19.47
485	10073	10548	10258	19.72
490	10171	10650	10357	19.97
495	10270	10752	10458	20.23
500	10371	10856	10559	20.49
505	10473	10964	10662	20.75
510	10575	11073	10767	21.02
515	10681	11182	10872	21.29
520	10786	11291	10979	21.56
525	10891	11402	11088	21.84
530	11001	11514	11197	22.12
535	11109	11627	11309	22.4
540	11222	11741	11421	22.69
545	11335	11854	11535	22.98
550	11449	11971	11651	23.28
555	11564	12087	11768	23.58
560	11682	12205	11886	23.88
565	11804	12322	12006	24.19
570	11926	12442	12128	24.5
575	12048	12563	12251	24.81
580	12173	12684	12376	25.12
585	12295	12806	12502	25.41
590	12419	12929	12629	25.69
595	12542	13058	12758	25.96
600	12672	13188	12889	26.22
605	12799	13312	13020	26.46
610	12921	13436	13153	26.69
615	13039	13566	13287	26.91
620	13164	13699	13422	27.12
625	13291	13824	13558	27.32
630	13418	13951	13695	27.5
635	13537	14086	13833	27.67
640	13658	14221	13971	27.82
645	13781	14359	14111	27.97
650	13903	14497	14251	28.1
655	14030	14631	14392	28.22
660	14150	14767	14533	28.33
665	14270	14906	14675	28.42
670	14389	15043	14817	28.51
675	14509	15181	14960	28.58
680	14630	15321	15103	28.64
685	14754	15457	15246	28.68
690	14878	15596	15390	28.71
695	15002	15735	15533	28.73
700	15125	15880	15677	28.74
705	15249	16026	15821	28.74
710	15369	16175	15964	28.74
715	15483	16327	16108	28.74
720	15605	16477	16252	28.74
725	15727	16630	16395	28.74
730	15849	16783	16539	28.74
735	15971	16938	16683	28.74
740	16093	17094	16827	28.74
745	16216	17251	16970	28.74
750	16338	17407	17114	28.74
755	16460	17564	17258	28.74
760	16582	17721	17401	NA
