ID,C14_age,cal_BP,error,reservoir,depth,thickness,RCode
5709,96,,21,,30.5,1.0,C14
5710,150,,20,,40.5,1.0,C14
5711,220,,28,,65.5,1.0,C14
5712,394,,30,,84.5,1.0,C14
5713,558,,23,,120.5,1.0,C14
5714,292,,31,,147.5,1.0,C14
5715,633,,26,,209.5,1.0,C14
5716,699,,31,,229.5,1.0,C14
5717,334,,21,,249.5,1.0,C14
5718,392,,26,,269.5,1.0,C14
5719,574,,19,,279.5,1.0,C14
5720,433,,21,,289.5,1.0,C14
5721,421,,23,,299.5,1.0,C14
5722,428,,19,,399.5,1.0,C14
5723,636,,24,,409.5,1.0,C14
5724,610,,25,,419.5,1.0,C14
5725,729,,24,,429.5,1.0,C14
5726,837,,24,,439.5,1.0,C14
5727,893,,18,,449.5,1.0,C14
5728,1016,,18,,469.5,1.0,C14
5729,958,,25,,479.5,1.0,C14
5730,1094,,30,,489.5,1.0,C14
5731,1080,,25,,499.5,1.0,C14
5732,1115,,25,,509.5,1.0,C14
5733,1244,,24,,519.5,1.0,C14
5734,1285,,19,,529.5,1.0,C14
5735,1299,,24,,547.5,1.0,C14
5736,1398,,19,,569.5,1.0,C14
5737,1499,,30,,579.5,1.0,C14
5738,1673,,31,,589.5,1.0,C14
5739,1764,,32,,599.5,1.0,C14
5740,1845,,31,,609.5,1.0,C14
5741,1875,,19,,619.5,1.0,C14
5742,3146,,22,,696.5,1.0,C14
5743,3307,,33,,706.5,1.0,C14
5744,3413,,34,,716.5,1.0,C14
5745,3268,,34,,730.5,1.0,C14
5746,3606,,33,,744.5,1.0,C14
5747,3764,,33,,766.5,1.0,C14
5748,3764,,34,,779.5,1.0,C14
5749,3997,,33,,795.5,1.0,C14
5750,4280,,34,,805.5,1.0,C14
5751,4123,,21,,815.5,1.0,C14
5752,4171,,34,,825.5,1.0,C14
5753,4299,,35,,835.5,1.0,C14
5754,4429,,34,,845.5,1.0,C14
5755,5127,,28,,925.5,1.0,C14
5756,5820,,29,,932.5,1.0,C14
5757,6666,,30,,946.5,1.0,C14
5758,7281,,27,,1016.5,1.0,C14
