depth	min95%	max95%	best	acc.rate
0	-587	922	46	2.67
10	-370	699	72	2.67
20	-155	472	99	2.67
30	33	255	126	1.34
40	15	268	151	2.03
50	17	276	166	1.38
60	11	289	180	1.38
70	9	305	192	1.1
80	28	312	203	1.1
90	46	318	214	1.1
100	65	326	225	1.1
110	84	334	236	1.1
120	101	343	247	1.1
130	119	351	258	1.1
140	136	360	269	1.1
150	154	370	280	1.1
160	172	379	291	1.1
170	189	387	302	1.1
180	207	396	313	1.1
190	224	406	324	1.1
200	242	415	335	1.1
210	260	424	346	1.1
220	278	435	357	1.1
230	295	445	368	1.1
240	306	459	379	1.1
250	317	473	390	0.72
260	329	475	397	0.72
270	341	475	404	0.72
280	353	477	412	0.72
290	365	479	419	0.72
300	377	481	426	0.72
310	389	484	433	0.72
320	400	487	440	0.72
330	411	489	448	0.72
340	422	491	455	0.72
350	432	493	462	0.72
360	441	496	469	0.72
370	450	499	476	0.72
380	459	503	484	0.72
390	464	508	491	0.72
400	475	520	503	11.02
410	562	657	608	-0.38
420	557	652	608	7.12
430	662	705	679	6.86
440	702	789	748	8.1
450	748	900	825	1.17
460	779	901	837	1.17
470	794	911	849	1.17
480	809	929	867	14.38
490	944	1057	1003	-1.15
500	940	1050	994	2.55
510	977	1085	1027	17.73
520	1096	1259	1197	3.53
530	1186	1275	1231	0.4
540	1192	1274	1235	0.4
550	1199	1287	1246	3.17
560	1250	1305	1277	3.17
570	1293	1341	1312	7.84
580	1331	1513	1396	19.57
590	1530	1684	1586	9.12
600	1587	1794	1678	10.62
610	1716	1860	1781	4.05
620	1747	1881	1830	20.16
630	1957	2078	2031	20.16
640	2169	2275	2233	20.16
650	2379	2476	2434	20.16
660	2582	2680	2636	20.16
670	2773	2886	2838	20.16
680	2962	3094	3039	20.16
690	3151	3301	3241	20.16
700	3363	3475	3428	15.98
710	3521	3649	3579	13.56
720	3624	3823	3699	8.93
730	3726	3869	3788	8.93
740	3811	3978	3877	8.93
750	3902	4058	3970	9.56
760	3975	4148	4066	9.56
770	4061	4261	4169	11.87
780	4211	4356	4288	11.87
790	4349	4468	4407	11.87
800	4456	4580	4517	10.1
810	4522	4719	4618	10.1
820	4596	4800	4693	4.25
830	4711	4867	4787	15.6
840	4863	5066	4953	17.97
850	4974	5336	5133	18.04
860	5173	5494	5314	18.04
870	5371	5651	5494	18.04
880	5565	5812	5674	18.04
890	5755	5972	5855	18.04
900	5945	6133	6035	18.04
910	6132	6299	6216	18.04
920	6314	6473	6396	18.04
930	6486	6662	6576	18.04
940	6671	6834	6753	17.58
950	6857	6998	6929	17.58
960	7041	7162	7105	17.58
970	7219	7335	7280	17.58
980	7397	7511	7456	17.58
990	7572	7688	7632	17.58
1000	7745	7866	7808	17.58
1010	7914	8047	7984	17.58
1020	8075	8221	8151	17.58
1030	8239	8407	8326	17.58
1040	8403	8594	8502	17.58
1050	8566	8784	8678	NA
