depth	min95%	max95%	best	acc.rate
0	-52	251	93	1.46
10	-20	246	108	1.46
20	7	240	122	1.46
30	29	246	137	1.46
40	40	255	151	1.46
50	41	265	166	1.44
60	45	275	180	1.42
70	51	286	194	1.38
80	56	303	208	1.34
90	61	325	221	1.3
100	68	345	234	1.26
110	78	362	246	1.21
120	89	379	258	1.16
130	102	392	270	1.1
140	115	404	280	1.05
150	130	412	291	0.99
160	148	420	300	0.92
170	167	426	309	0.86
180	184	429	317	0.79
190	201	431	325	0.72
200	219	432	332	0.64
210	236	431	338	0.57
220	251	430	343	0.49
230	262	429	348	0.4
240	272	425	351	0.32
250	282	423	354	0.23
260	290	421	356	0.16
270	297	419	358	0.14
280	301	420	359	0.17
290	306	421	361	0.24
300	311	424	364	0.35
310	319	429	368	0.51
320	328	435	374	0.71
330	340	445	382	0.96
340	353	454	393	1.25
350	371	465	407	1.58
360	393	480	425	1.96
370	418	498	446	2.39
380	448	518	472	2.86
390	483	544	503	3.37
400	521	573	539	3.93
410	563	609	581	4.39
420	608	648	626	4.7
430	655	694	674	4.87
440	702	744	723	4.89
450	749	795	771	4.81
460	795	846	819	4.72
470	840	893	866	4.67
480	886	941	913	4.66
490	932	988	959	4.63
500	976	1034	1005	4.6
510	1021	1080	1051	4.59
520	1066	1127	1097	4.54
530	1112	1174	1142	4.54
540	1158	1222	1189	4.82
550	1211	1273	1239	5.45
560	1272	1334	1298	6.48
570	1344	1405	1369	7.9
580	1431	1490	1455	9.52
590	1532	1592	1558	11.1
600	1647	1711	1676	12.62
610	1776	1845	1808	14.09
620	1919	1994	1956	15.48
630	2073	2155	2116	16.65
640	2235	2327	2287	17.48
650	2406	2505	2464	17.98
660	2583	2685	2645	18.15
670	2758	2867	2826	17.99
680	2933	3044	3004	17.5
690	3102	3215	3175	16.68
700	3266	3376	3337	15.54
710	3422	3525	3487	14.32
720	3566	3661	3625	13.15
730	3700	3787	3752	12.18
740	3822	3904	3870	11.41
750	3939	4014	3981	10.84
760	4049	4122	4088	10.48
770	4154	4228	4192	10.31
780	4259	4334	4295	10.31
790	4363	4443	4399	10.48
800	4467	4557	4505	10.81
810	4577	4674	4615	11.33
820	4692	4798	4731	12.04
830	4814	4928	4856	12.93
840	4942	5069	4989	13.91
850	5080	5216	5133	14.83
860	5224	5368	5285	15.65
870	5376	5529	5444	16.36
880	5533	5692	5611	16.96
890	5696	5861	5783	17.46
900	5863	6036	5959	17.85
910	6037	6212	6139	18.14
920	6214	6391	6321	18.32
930	6397	6571	6505	18.39
940	6580	6752	6689	18.39
950	6766	6934	6873	18.39
960	6956	7119	7057	18.39
970	7146	7304	7241	18.39
980	7335	7489	7425	18.39
990	7526	7674	7608	18.39
1000	7714	7858	7792	18.39
1010	7904	8044	7976	18.39
1020	8087	8230	8160	18.39
1030	8270	8416	8344	18.39
1040	8447	8607	8528	18.39
1050	8622	8801	8712	NA
